id,sentence
1,the quick brown fox jumps over the lazy dog
2,she sells seashells by the seashore
3,please turn off the lights before you leave
4,the meeting is scheduled for three thirty p m
5,water boils at one hundred degrees celsius
6,add two cups of flour and one teaspoon of salt
7,the square root of sixty four is eight
8,artificial intelligence is changing how we learn
9,he ran five kilometers in under thirty minutes
10,the train departs from platform number seven
11,can you pass me the stapler on the desk
12,my favorite season is autumn because of the cool weather
13,the museum opens at nine and closes at six
14,she bought three apples and two oranges from the market
15,the earth revolves around the sun once a year
16,i need to charge my phone before we leave
17,turn left at the next traffic signal
18,the recipe calls for half a cup of sugar
19,he studies computer science at the university
20,the movie starts in twenty minutes
21,please remember to lock the door when you go out
22,the temperature today is around thirty two degrees
23,the library is closed on public holidays
24,we are planning a trip to the mountains next month
25,the total bill comes to four hundred and fifty rupees
26,she plays the violin every evening after dinner
27,the flight was delayed by two hours due to weather
28,my brother works as a software engineer in bangalore
29,the coffee machine is out of order today
30,i will send you the report by tomorrow morning
31,the price of petrol increased by five rupees
32,the wifi password is written on the router
33,the doctor advised him to drink more water
34,the concert tickets are sold out for this weekend
35,she is learning to cook italian food
36,the bridge was built over a hundred years ago
37,please submit your assignment before the deadline
38,the stock market fell by two percent today
39,he forgot his umbrella at the office
40,the new phone has a better camera than the old one
41,the bus stop is just around the corner
42,we watched the sunset from the rooftop
43,the printer is out of paper again
44,she completed the marathon in four hours
45,the weather forecast predicts rain tomorrow
46,i left my keys inside the car
47,the professor explained the theory in detail
48,the shop closes early on sundays
49,he ordered a pizza with extra cheese
50,the results will be announced next friday
51,the algorithm sorts the numbers in increasing order
52,convert twenty five kilometers to miles
53,the derivative of x squared is two x
54,the boiling point of water changes with altitude
55,binary numbers use only zero and one
56,the capital of india is new delhi
57,photosynthesis occurs in the chloroplasts of plant cells
58,the human heart has four chambers
59,gravity pulls objects toward the center of the earth
60,the speed of light is approximately three hundred thousand kilometers per second
61,a right angle measures ninety degrees
62,the periodic table has one hundred and eighteen elements
63,dna carries the genetic information of living organisms
64,the mitochondria is the powerhouse of the cell
65,newton's first law is about inertia
66,the average of ten and twenty is fifteen
67,a triangle has three sides and three angles
68,the internet connects millions of computers worldwide
69,machine learning models learn from data
70,the moon orbits the earth every twenty seven days
71,please increase the volume a little bit
72,can you repeat that last sentence again
73,the battery percentage is at twenty percent
74,switch on the fan it is getting warm
75,the file is saved in the downloads folder
76,i will call you back in five minutes
77,the password must contain at least eight characters
78,restart the computer to apply the updates
79,the app crashed while loading the page
80,connect the charger to the power socket
81,the elevator is not working on this floor
82,scan the document and email it to me
83,the software update will take a few minutes
84,click on the second option from the menu
85,the server is currently under maintenance
86,save the file before closing the window
87,the microphone is not picking up any sound
88,check if the camera is properly connected
89,the meeting has been moved to the next room
90,please mute your microphone during the presentation
91,the temperature dropped suddenly last night
92,he solved the puzzle in under a minute
93,the train was delayed due to heavy rainfall
94,the shopping mall is crowded on weekends
95,she paints landscapes in her free time
96,the children are playing in the park
97,the bakery sells fresh bread every morning
98,the airport is about twenty kilometers from here
99,the teacher assigned homework for the weekend
100,the results of the experiment were surprising
